411: done 25 episodes, mean reward 0.001, speed 409.61 f/s
814: done 51 episodes, mean reward -0.000, speed 402.43 f/s
1279: done 82 episodes, mean reward -0.001, speed 447.28 f/s
1762: done 113 episodes, mean reward -0.002, speed 477.35 f/s
2222: done 142 episodes, mean reward -0.003, speed 459.57 f/s
2713: done 174 episodes, mean reward -0.002, speed 485.02 f/s
3153: done 203 episodes, mean reward -0.002, speed 435.49 f/s
3604: done 231 episodes, mean reward -0.001, speed 442.44 f/s
4096: done 262 episodes, mean reward -0.001, speed 479.66 f/s
4587: done 295 episodes, mean reward -0.001, speed 490.55 f/s
5068: done 327 episodes, mean reward -0.002, speed 474.21 f/s
5550: done 357 episodes, mean reward -0.003, speed 481.79 f/s
6043: done 389 episodes, mean reward -0.002, speed 482.50 f/s
6556: done 421 episodes, mean reward -0.002, speed 502.08 f/s
6987: done 450 episodes, mean reward -0.003, speed 430.60 f/s
7479: done 482 episodes, mean reward -0.003, speed 487.44 f/s
7886: done 509 episodes, mean reward -0.003, speed 405.04 f/s
8365: done 540 episodes, mean reward -0.002, speed 475.03 f/s
8832: done 571 episodes, mean reward -0.002, speed 459.96 f/s
9346: done 605 episodes, mean reward -0.002, speed 505.02 f/s
9783: done 635 episodes, mean reward -0.003, speed 431.87 f/s
Test done in 1.11 sec, reward -0.005, steps 14
10016: done 651 episodes, mean reward -0.004, speed 125.64 f/s
10089: done 655 episodes, mean reward -0.003, speed 70.71 f/s
10160: done 660 episodes, mean reward -0.004, speed 66.94 f/s
10231: done 665 episodes, mean reward -0.004, speed 70.10 f/s
10302: done 670 episodes, mean reward -0.004, speed 67.65 f/s
10373: done 675 episodes, mean reward -0.004, speed 70.17 f/s
10444: done 680 episodes, mean reward -0.004, speed 70.52 f/s
10515: done 685 episodes, mean reward -0.004, speed 70.33 f/s
10586: done 690 episodes, mean reward -0.004, speed 65.18 f/s
10657: done 695 episodes, mean reward -0.004, speed 68.82 f/s
10728: done 700 episodes, mean reward -0.004, speed 62.24 f/s
10799: done 705 episodes, mean reward -0.004, speed 70.48 f/s
10870: done 710 episodes, mean reward -0.004, speed 68.72 f/s
10941: done 715 episodes, mean reward -0.004, speed 65.63 f/s
11012: done 720 episodes, mean reward -0.004, speed 66.48 f/s
11083: done 725 episodes, mean reward -0.004, speed 68.52 f/s
11154: done 730 episodes, mean reward -0.004, speed 65.30 f/s
11225: done 735 episodes, mean reward -0.004, speed 69.86 f/s
11296: done 740 episodes, mean reward -0.004, speed 68.10 f/s
11367: done 745 episodes, mean reward -0.004, speed 67.39 f/s
11438: done 750 episodes, mean reward -0.004, speed 68.59 f/s
11509: done 755 episodes, mean reward -0.005, speed 66.80 f/s
11594: done 761 episodes, mean reward -0.005, speed 71.55 f/s
11665: done 766 episodes, mean reward -0.005, speed 65.73 f/s
11736: done 771 episodes, mean reward -0.005, speed 70.72 f/s
11807: done 776 episodes, mean reward -0.005, speed 66.86 f/s
11878: done 781 episodes, mean reward -0.005, speed 70.14 f/s
11949: done 786 episodes, mean reward -0.005, speed 70.88 f/s
12020: done 791 episodes, mean reward -0.005, speed 70.76 f/s
12091: done 796 episodes, mean reward -0.005, speed 67.24 f/s
12176: done 802 episodes, mean reward -0.005, speed 69.91 f/s
12247: done 807 episodes, mean reward -0.005, speed 70.41 f/s
12318: done 812 episodes, mean reward -0.005, speed 68.92 f/s
12389: done 817 episodes, mean reward -0.005, speed 69.96 f/s
12474: done 823 episodes, mean reward -0.005, speed 71.35 f/s
12545: done 828 episodes, mean reward -0.005, speed 70.34 f/s
12630: done 834 episodes, mean reward -0.005, speed 73.86 f/s
12716: done 840 episodes, mean reward -0.005, speed 71.36 f/s
12787: done 845 episodes, mean reward -0.005, speed 65.79 f/s
12858: done 850 episodes, mean reward -0.005, speed 69.56 f/s
12929: done 855 episodes, mean reward -0.005, speed 64.57 f/s
13000: done 860 episodes, mean reward -0.005, speed 68.08 f/s
13071: done 865 episodes, mean reward -0.005, speed 67.05 f/s
13142: done 870 episodes, mean reward -0.005, speed 70.24 f/s
13213: done 875 episodes, mean reward -0.005, speed 67.02 f/s
13284: done 880 episodes, mean reward -0.005, speed 70.90 f/s
13355: done 885 episodes, mean reward -0.005, speed 66.21 f/s
13440: done 891 episodes, mean reward -0.005, speed 71.11 f/s
13511: done 896 episodes, mean reward -0.005, speed 68.13 f/s
13582: done 901 episodes, mean reward -0.005, speed 68.70 f/s
13667: done 907 episodes, mean reward -0.005, speed 71.10 f/s
13738: done 912 episodes, mean reward -0.005, speed 64.57 f/s
13809: done 917 episodes, mean reward -0.005, speed 67.52 f/s
13880: done 922 episodes, mean reward -0.005, speed 66.70 f/s
13951: done 927 episodes, mean reward -0.005, speed 70.24 f/s
14022: done 932 episodes, mean reward -0.005, speed 68.49 f/s
14107: done 938 episodes, mean reward -0.005, speed 72.16 f/s
14178: done 943 episodes, mean reward -0.005, speed 69.96 f/s
14249: done 948 episodes, mean reward -0.005, speed 68.10 f/s
14320: done 953 episodes, mean reward -0.005, speed 66.64 f/s
14405: done 959 episodes, mean reward -0.005, speed 71.26 f/s
14491: done 965 episodes, mean reward -0.005, speed 73.07 f/s
14562: done 970 episodes, mean reward -0.005, speed 70.07 f/s
14633: done 975 episodes, mean reward -0.005, speed 68.99 f/s
14704: done 980 episodes, mean reward -0.005, speed 69.31 f/s
14789: done 986 episodes, mean reward -0.005, speed 70.73 f/s
